State,Permit,High school graduate or higher,Bachelors degree,Advanced Degree,Average,Sucide Death Rate,Population
Alabama,No,85.3,24.5,9.1,39.63333333,15.64,4908621
Alaska,No,92.4,29,10.4,43.93333333,25.28,734002
Arizona,No,86.5,28.4,10.7,41.86666667,18.26,7378494
Arkansas,No,85.6,22,7.9,38.5,18.74,3038999
California,Yes,82.5,32.6,12.2,42.43333333,10.54,39937489
Colorado,No,91.9,39.4,14.6,48.63333333,20.42,5845526
Connecticut,Yes,90.2,38.4,17,48.53333333,10.18,3563077
Delaware,No,89.3,31,12.9,44.4,12.06,982895
District of Columbia,Yes,90.3,56.6,32.8,59.9,6.15,720687
Florida,No,87.6,28.5,10.3,42.13333333,14.3,21992985
Georgia,No,86.3,29.9,11.4,42.53333333,13.36,10736059
Hawaii,Yes,91.6,32,10.8,44.8,13.3,1412687
Idaho,No,90.2,26.8,8.5,41.83333333,22.12,1826156
Illinois,Yes,88.6,33.4,13,45,10.8,12659682
Indiana,No,88.3,25.3,9.2,40.93333333,15.28,6745354
Iowa,Yes,91.8,27.7,9,42.83333333,14.38,3179849
Kansas,No,90.5,32.3,11.7,44.83333333,17.66,2910357
Kentucky,No,85.2,23.2,9.6,39.33333333,16.84,4499692
Louisiana,No,84.3,23.4,8.1,38.6,14.8,4645184
Maine,No,92.1,30.3,10.9,44.43333333,17,1345790
Maryland,Yes,89.8,39,18,48.93333333,9.6,6083116
Massachusetts,Yes,90.3,42.1,18.7,50.36666667,9.06,6976597
Michigan,No,90.2,28.1,11,43.1,13.9,10045029
Minnesota,Yes,92.8,34.8,11.8,46.46666667,13.1,5700671
Mississippi,No,83.4,21.3,8,37.56666667,13.6,2989260
Missouri,No,89.2,28.2,10.7,42.7,17.96,6169270
Montana,No,93,30.7,10.1,44.6,25.78,1086759
Nebraska,Yes,90.9,30.6,10.2,43.9,13.26,1952570
Nevada,No,85.8,23.7,8.1,39.2,20.1,3139658
New Hampshire,No,92.8,36,13.8,47.53333333,17.96,1371246
New Jersey,Yes,89.2,38.1,14.7,47.33333333,8.08,8936574
New Mexico,No,85,26.9,11.8,41.23333333,23.1,2096640
New York,Yes,86.1,35.3,15.4,45.6,8.08,19440469
North Carolina,Yes,86.9,29.9,10.6,42.46666667,13.48,10611862
North Dakota,No,92.3,28.9,7.8,43,18.72,761723
Ohio,No,89.8,27.2,10.2,42.4,14.16,11747694
Oklahoma,No,87.5,24.8,8.3,40.2,19.9,3954821
Oregon,No,90.2,32.3,12.2,44.9,18.44,4301089
Pennsylvania,No,89.9,30.1,11.8,43.93333333,14.38,12820878
Rhode Island,Yes,87.3,33,13.1,44.46666667,10.76,1056161
South Carolina,No,86.5,27,9.8,41.1,15.48,5210095
South Dakota,No,91.4,27.8,8.3,42.5,19.9,903027
Tennessee,Yes,86.5,26.1,9.6,40.73333333,15.9,6897576
Texas,No,82.8,28.7,9.9,40.46666667,12.88,29472295
Utah,No,91.8,32.5,11,45.1,21.92,3282115
Vermont,No,92.3,36.8,15,48.03333333,17.58,628061
Virginia,No,89,37.6,16.1,47.56666667,13.24,8626207
Washington,Yes,90.8,34.5,12.7,46,15.66,7797095
West Virginia,No,85.9,19.9,7.9,37.9,19.42,1778070
Wisconsin,Yes,91.7,29,9.9,43.53333333,14.54,5851754
Wyoming,No,92.8,26.7,9.3,42.93333333,25.18,567025
